Agency,Agency_Type,Dist_Channel,Prod_Name,Claim,Duration,Destination,Net_Sales,Commission,Age
9,0,1,8,0,41,26,44,15.4,37
9,0,1,8,0,43,129,22,7.7,34
9,0,1,8,0,5,26,22,7.7,41
1,0,1,2,0,56,102,75.96,26.59,48
1,0,1,2,0,3,118,12.5,4.38,48
1,0,1,2,0,3,79,4.99,1.75,48
2,0,1,9,0,20,118,47,11.75,30
2,0,1,9,0,29,118,27,6.75,30
2,0,1,9,0,22,118,69.55,17.39,26
2,0,1,9,0,23,118,30.55,7.64,35
2,0,1,17,0,13,118,19.5,4.88,34
2,0,1,17,0,29,118,31.85,7.96,45
2,0,1,13,0,23,118,77.35,19.34,52
6,1,1,16,0,23,79,29.7,17.82,31
6,1,1,16,0,29,4,39.6,23.76,52
6,1,1,16,0,5,79,0,29.7,53
6,1,1,16,0,26,140,27,89.1,40
6,1,1,16,0,26,129,29.7,17.82,31
6,1,1,16,0,22,140,9.9,5.94,31
6,1,1,16,0,48,4,59.4,35.64,26
6,1,1,16,0,5,79,39.6,23.76,36
6,1,1,16,0,30,79,59.4,35.64,27
6,1,1,16,0,9,129,49.5,29.7,50
6,1,1,16,0,32,79,49.5,29.7,31
6,1,1,16,0,8,79,39.6,23.76,30
6,1,1,16,0,4,79,19.8,11.88,29
6,1,1,16,0,111,4,89.1,53.46,31
6,1,1,16,0,34,4,19.8,11.88,34
6,1,1,16,0,19,79,39.6,23.76,35
6,1,1,16,0,20,4,27,89.1,34
6,1,1,16,0,22,4,0,77.22,23
6,1,1,16,0,2,118,9.9,5.94,44
7,1,1,1,0,4,OTHERS,20,0,36
7,1,1,1,0,13,129,20,0,36
7,1,1,1,0,39,OTHERS,69,0,36
7,1,1,1,0,10,53,20,0,36
7,1,1,1,0,48,79,20,0,53
7,1,1,1,0,62,OTHERS,22,0,36
7,1,1,1,0,4,79,20,0,53
7,1,1,1,0,90,OTHERS,42,0,36
7,1,1,1,0,10,102,56,0,36
7,1,1,1,0,13,79,20,0,43
7,1,1,1,0,19,129,20,0,36
7,1,1,1,0,3,118,20,0,39
7,1,1,1,0,18,129,20,0,45
7,1,1,1,0,18,OTHERS,20,0,36
7,1,1,1,0,22,26,69,0,36
7,1,1,1,0,6,26,36,0,36
7,1,1,1,0,11,79,20,0,48
7,1,1,1,0,18,OTHERS,27,0,36
7,1,1,1,0,12,26,27,0,36
7,1,1,1,0,81,OTHERS,32,0,24
7,1,1,1,0,36,118,67,0,36
7,1,1,1,0,28,118,20,0,36
7,1,1,1,0,57,OTHERS,53,0,36
7,1,1,1,0,42,79,20,0,36
7,1,1,1,0,91,OTHERS,44,0,29
7,1,1,1,0,7,53,20,0,36
7,1,1,1,0,12,79,20,0,27
7,1,1,1,0,49,79,20,0,27
7,1,1,1,0,13,57,20,0,36
7,1,1,1,0,28,56,50,0,36
7,1,1,1,0,22,OTHERS,89,0,25
7,1,1,10,0,7,79,16,0,36
7,1,1,10,0,22,53,29,0,36
7,1,1,10,0,1,140,20,0,47
7,1,1,10,0,49,56,24,0,36
7,1,1,10,0,28,129,27,0,36
7,1,1,10,0,13,26,33,0,36
7,1,1,10,0,118,OTHERS,10,0,35
7,1,1,10,0,7,118,18,0,36
7,1,1,10,0,7,OTHERS,58,0,36
7,1,1,10,0,52,OTHERS,46,0,36
7,1,1,10,0,59,OTHERS,16,0,36
7,1,1,10,0,38,53,12,0,36
7,1,1,10,0,18,129,29,0,36
7,1,1,10,0,73,140,69,0,36
7,1,1,10,0,21,57,15,0,31
7,1,1,10,0,25,79,20,0,36
7,1,1,10,0,19,OTHERS,19,0,36
7,1,1,10,0,20,79,13,0,36
7,1,1,10,0,33,OTHERS,74,0,36
7,1,1,10,0,31,129,40,0,30
7,1,1,10,0,24,129,10,0,36
7,1,1,10,0,1,140,17,0,28
7,1,1,10,0,12,79,13,0,36
7,1,1,10,0,5,79,10,0,36
7,1,1,10,0,25,OTHERS,80,0,36
7,1,1,10,0,12,53,80,0,36
7,1,1,10,0,12,129,34,0,36
7,1,1,10,0,94,4,80,0,36
7,1,1,10,0,13,OTHERS,10,0,36
7,1,1,10,0,46,4,80,0,36
7,1,1,10,0,29,OTHERS,22,0,30
7,1,1,10,0,57,118,11,0,40
7,1,1,10,0,82,OTHERS,80,0,36
7,1,1,10,0,13,OTHERS,10,0,36
7,1,1,10,0,12,OTHERS,14,0,36
7,1,1,10,0,9,129,13,0,36
7,1,1,10,0,6,129,23,0,33
7,1,1,0,0,55,4,26,0,36
7,1,1,0,0,2,79,20,0,36
7,1,1,0,0,26,79,20,0,24
7,1,1,0,0,4,26,20,0,36
7,1,1,0,0,25,26,46,0,36
7,1,1,0,0,49,118,20,0,29
8,0,1,25,0,4,56,62,24.8,36
12,0,1,25,0,14,OTHERS,15,6,39
13,0,1,22,0,54,118,1.98,0.56,48
13,0,1,22,0,40,118,3.89,1.09,48
13,0,1,22,0,11,118,7.21,2.02,48
9,0,1,8,0,5,53,22,7.7,36
9,0,1,8,0,5,57,22,7.7,53
9,0,1,8,0,6,129,22,7.7,36
9,0,1,8,0,2,OTHERS,18,6.3,36
9,0,1,8,0,15,OTHERS,30,10.5,36
9,0,1,8,0,90,79,22,7.7,36
9,0,1,8,0,28,53,35,12.25,52
9,0,1,8,0,21,OTHERS,22,7.7,40
9,0,1,8,0,22,57,33,11.55,38
9,0,1,8,0,34,26,22,7.7,46
9,0,1,25,0,49,OTHERS,67,23.45,49
9,0,1,25,0,33,4,92,32.2,36
2,0,1,9,0,19,118,17.55,4.39,31
2,0,1,9,0,4,118,17.55,4.39,35
2,0,1,9,0,9,118,17.55,4.39,26
2,0,1,9,0,28,118,17.55,4.39,33
2,0,1,9,0,18,118,0,7.47,45
2,0,1,9,0,18,118,38.35,9.59,34
2,0,1,9,0,55,118,94,23.5,30
2,0,1,9,0,32,118,44.85,11.21,27
2,0,1,17,0,13,118,62.25,15.56,27
2,0,1,17,0,13,118,81.75,20.44,30
2,0,1,17,0,12,118,62.25,15.56,29
2,0,1,17,0,10,118,43.55,10.89,45
2,0,1,17,0,10,118,43.55,10.89,46
2,0,1,17,0,34,118,27,27.25,27
2,0,1,4,0,22,118,27,63.21,29
2,0,1,4,0,22,118,27,65.16,30
2,0,1,4,0,22,118,27,65.16,47
2,0,1,4,0,22,118,27,63.21,30
6,1,1,16,0,114,OTHERS,69.3,41.58,51
6,1,1,16,0,20,OTHERS,39.6,23.76,51
6,1,1,16,0,40,OTHERS,27,77.22,55
6,1,1,16,0,3,79,29.7,17.82,28
6,1,1,16,0,85,OTHERS,27,65.34,35
6,1,1,16,0,5,79,0,29.7,54
6,1,1,16,0,17,140,27,71.28,32
6,1,1,16,0,6,140,29.7,17.82,31
6,1,1,16,0,22,OTHERS,0,65.34,31
6,1,1,16,0,5,OTHERS,39.6,23.76,31
6,1,1,16,0,5,129,29.7,17.82,44
6,1,1,16,0,18,4,27,83.16,51
6,1,1,16,0,5,4,29.7,17.82,29
6,1,1,16,0,45,129,19.8,11.88,33
6,1,1,16,0,8,OTHERS,49.5,29.7,31
6,1,1,16,0,103,140,27,95.04,29
6,1,1,16,0,12,OTHERS,29.7,17.82,31
7,1,1,1,0,110,118,20,0,35
7,1,1,1,0,22,OTHERS,64,0,36
7,1,1,1,0,32,OTHERS,27,0,36
7,1,1,1,0,26,79,20,0,36
7,1,1,1,0,37,140,27,0,31
7,1,1,1,0,32,140,50,0,25
7,1,1,1,0,7,53,23,0,28
7,1,1,1,0,39,118,38,0,36
7,1,1,1,0,27,57,20,0,36
7,1,1,1,0,22,57,20,0,36
7,1,1,1,0,22,OTHERS,31,0,36
7,1,1,1,0,11,4,74,0,36
7,1,1,1,0,12,OTHERS,37,0,36
7,1,1,1,0,21,26,52,0,36
7,1,1,1,0,56,OTHERS,69,0,36
7,1,1,1,0,56,OTHERS,69,0,36
7,1,1,1,0,20,129,20,0,36
7,1,1,1,0,41,OTHERS,26,0,36
7,1,1,1,0,15,102,30,0,36
7,1,1,1,0,20,56,46,0,36
7,1,1,1,0,9,129,20,0,36
7,1,1,1,0,14,129,20,0,40
7,1,1,1,0,35,118,56,0,36
7,1,1,1,0,2,79,29,0,36
7,1,1,1,0,8,79,20,0,35
7,1,1,1,0,9,118,0,0,36
7,1,1,1,0,8,79,32,0,36
7,1,1,1,0,10,OTHERS,23,0,36
7,1,1,1,0,24,OTHERS,71,0,36
7,1,1,1,0,4,118,20,0,36
7,1,1,1,0,3,79,20,0,36
7,1,1,1,0,4,26,37,0,36
7,1,1,1,0,3,79,20,0,25
7,1,1,1,0,17,129,26,0,36
7,1,1,1,0,75,4,31,0,36
7,1,1,1,0,9,118,30,0,36
7,1,1,1,0,47,79,37,0,31
7,1,1,1,0,28,OTHERS,39,0,36
7,1,1,1,0,83,102,20,0,39
7,1,1,1,0,56,4,27,0,36
7,1,1,10,0,1,140,24,0,36
7,1,1,10,0,73,129,16,0,36
7,1,1,10,0,12,79,10,0,36
7,1,1,10,0,15,118,19,0,36
7,1,1,10,0,12,OTHERS,37,0,36
7,1,1,10,0,27,118,70,0,26
7,1,1,10,0,24,79,14,0,36
7,1,1,10,0,27,79,10,0,49
7,1,1,10,0,41,OTHERS,10,0,36
7,1,1,10,0,41,OTHERS,10,0,23
7,1,1,10,0,35,OTHERS,13,0,39
7,1,1,10,0,8,140,42,0,55
7,1,1,10,0,34,26,33,0,36
7,1,1,10,0,27,OTHERS,17,0,36
7,1,1,10,0,54,OTHERS,39,0,36
7,1,1,10,0,11,53,18,0,36
7,1,1,10,0,5,53,29,0,36
7,1,1,10,0,40,53,24,0,28
7,1,1,10,0,29,OTHERS,43,0,36
7,1,1,10,0,7,118,10,0,36
7,1,1,10,0,28,129,30,0,36
7,1,1,10,0,57,OTHERS,10,0,32
7,1,1,10,0,38,140,18,0,38
7,1,1,10,0,53,OTHERS,59,0,36
7,1,1,10,0,40,118,16,0,45
7,1,1,10,0,18,OTHERS,19,0,36
7,1,1,10,0,32,26,33,0,36
7,1,1,10,0,13,53,21,0,53
7,1,1,10,0,25,56,20,0,36
7,1,1,10,0,15,26,32,0,36
7,1,1,10,0,11,26,24,0,36
7,1,1,10,0,13,26,16,0,36
7,1,1,10,0,36,140,11,0,36
7,1,1,10,0,26,79,22,0,54
7,1,1,10,0,27,56,0,0,36
7,1,1,10,0,49,4,18,0,36
7,1,1,10,0,33,57,10,0,36
7,1,1,10,0,27,57,10,0,28
7,1,1,10,0,81,OTHERS,45,0,36
7,1,1,10,0,27,53,30,0,36
7,1,1,10,0,25,4,45,0,36
7,1,1,10,0,82,102,14,0,36
7,1,1,10,0,70,OTHERS,21,0,36
7,1,1,10,0,19,79,10,0,36
7,1,1,10,0,19,79,10,0,36
7,1,1,0,0,14,26,20,0,36
7,1,1,0,0,6,OTHERS,20,0,36
7,1,1,0,0,9,OTHERS,20,0,36
7,1,1,0,0,52,4,28,0,36
7,1,1,0,0,17,OTHERS,39,0,36
7,1,1,0,0,25,26,27,0,36
7,1,1,0,0,5,118,51,0,36
7,1,1,0,0,49,102,20,0,36
7,1,1,0,0,5,OTHERS,20,0,29
7,1,1,0,0,17,79,37,0,36
8,0,1,25,0,16,56,50,20,36
12,0,1,25,0,75,OTHERS,31,12.4,36
12,0,1,25,0,3,OTHERS,15,6,48
13,0,1,22,0,39,118,1.48,0.41,48
13,0,1,22,0,53,118,73.67,20.65,48
13,0,1,22,0,40,118,7.21,2.02,48
13,0,1,22,0,13,118,5.09,1.43,48
9,0,1,8,0,4,OTHERS,18,6.3,29
9,0,1,8,0,54,53,26,9.1,40
9,0,1,8,0,3,79,18,6.3,33
9,0,1,8,0,5,79,18,6.3,40
9,0,1,8,0,104,OTHERS,35,12.25,38
9,0,1,8,0,10,129,22,7.7,42
9,0,1,8,0,24,56,35,12.25,53
9,0,1,8,0,10,129,22,7.7,45
9,0,1,8,0,48,56,50,17.5,53
9,0,1,8,0,6,129,18,6.3,49
9,0,1,8,0,7,OTHERS,26,9.1,47
9,0,1,8,0,20,OTHERS,26,9.1,45
9,0,1,8,0,6,26,26,9.1,47
9,0,1,8,0,15,129,22,7.7,49
9,0,1,8,0,4,129,18,6.3,55
9,0,1,8,0,48,OTHERS,26,9.1,32
9,0,1,8,0,14,129,22,7.7,36
9,0,1,8,0,14,OTHERS,33,11.55,34
9,0,1,8,0,42,26,63,22.05,48
9,0,1,8,0,13,129,22,7.7,36
9,0,1,25,0,22,OTHERS,27,43.75,31
9,0,1,25,0,36,OTHERS,87,30.45,51
9,0,1,25,0,22,OTHERS,27,52.15,38
9,0,1,25,0,42,26,92,32.2,53
9,0,1,25,0,11,OTHERS,87,30.45,49
9,0,1,25,0,10,26,45,15.75,50
5,1,0,12,0,92,79,29,9.57,36
5,1,0,12,0,92,79,29,9.57,36
4,1,0,12,0,5,79,29,9.57,36
4,1,0,12,0,5,79,29,9.57,36
4,1,0,12,0,5,79,29,9.57,36
3,1,0,12,0,36,129,29,9.57,36
1,0,1,2,0,2,102,7.44,2.6,48
1,0,1,2,0,2,129,9.48,3.32,48
2,0,1,9,0,10,118,38.35,9.59,36
2,0,1,9,0,17,118,38.35,9.59,45
2,0,1,9,0,32,118,22.1,5.53,28
2,0,1,9,0,32,118,38.35,9.59,26
2,0,1,9,0,4,118,17.55,4.39,36
2,0,1,9,0,7,118,17.25,4.31,36
2,0,1,9,0,22,118,27,170.5,25
2,0,1,9,0,33,118,17.25,4.31,30
2,0,1,9,0,5,118,17.55,4.39,25
2,0,1,9,0,31,118,38.35,9.59,36
2,0,1,17,0,18,118,71,17.75,42
2,0,1,17,0,11,118,62.25,15.56,33
2,0,1,17,0,47,118,70.85,17.71,39
2,0,1,17,0,61,118,25.9,6.47,37
2,0,1,17,0,5,118,25.9,6.47,42
2,0,1,13,0,26,118,27,29.75,48
2,0,1,4,0,22,118,27,46.96,32
2,0,1,4,0,22,118,27,63.21,42
2,0,1,4,0,22,118,27,63.21,33
2,0,1,3,0,22,118,27,97.34,42
6,1,1,16,0,86,79,39.6,23.76,43
6,1,1,16,0,2,79,9.9,5.94,36
6,1,1,16,0,2,140,19.8,11.88,30
6,1,1,16,0,17,129,29.7,17.82,52
6,1,1,16,0,60,79,19.8,11.88,31
6,1,1,16,0,28,129,49.5,29.7,31
6,1,1,16,0,8,79,19.8,11.88,36
6,1,1,16,0,4,OTHERS,19.8,11.88,31
6,1,1,16,0,32,79,0,89.1,45
6,1,1,16,0,26,4,39.6,23.76,43
6,1,1,16,0,100,4,0,106.92,31
6,1,1,16,0,105,OTHERS,39.6,23.76,32
6,1,1,16,0,22,129,49.5,29.7,41
6,1,1,16,0,34,4,59.4,35.64,35
7,1,1,1,0,56,129,31,0,32
7,1,1,1,0,52,102,34,0,36
7,1,1,1,0,53,102,20,0,26
7,1,1,1,0,39,79,20,0,36
7,1,1,1,0,99,129,33,0,36
7,1,1,1,0,45,OTHERS,25,0,36
7,1,1,1,0,9,57,20,0,51
7,1,1,1,0,21,79,20,0,36
7,1,1,1,0,52,102,34,0,36
7,1,1,1,0,52,102,34,0,36
7,1,1,1,0,76,26,38,0,36
7,1,1,1,0,25,102,70,0,36
7,1,1,1,0,46,129,24,0,36
7,1,1,1,0,22,OTHERS,76,0,36
7,1,1,1,0,103,OTHERS,56,0,36
7,1,1,1,0,11,118,26,0,36
7,1,1,1,0,33,53,21,0,26
7,1,1,1,0,108,OTHERS,20,0,29
7,1,1,1,0,19,79,20,0,50
7,1,1,1,0,22,OTHERS,27,0,36
7,1,1,1,0,9,26,87,0,36
7,1,1,1,0,13,57,20,0,36
7,1,1,1,0,11,129,20,0,36
7,1,1,1,0,8,118,30,0,36
7,1,1,1,0,16,26,46,0,36
7,1,1,1,0,6,57,26,0,36
7,1,1,1,0,10,OTHERS,27,0,36
7,1,1,1,0,14,79,20,0,39
7,1,1,1,0,45,26,0,0,36
7,1,1,1,0,22,OTHERS,21,0,36
7,1,1,1,0,45,26,33,0,36
7,1,1,1,0,107,129,20,0,38
7,1,1,1,0,10,26,68,0,36
7,1,1,1,0,61,57,25,0,36
7,1,1,1,0,83,26,28,0,36
7,1,1,1,0,61,57,25,0,36
7,1,1,1,0,47,129,68,0,36
7,1,1,1,0,34,4,62,0,36
7,1,1,1,0,25,140,27,0,38
7,1,1,1,0,7,OTHERS,27,0,36
7,1,1,1,0,7,79,20,0,36
7,1,1,10,0,18,26,31,0,36
7,1,1,10,0,38,140,10,0,42
7,1,1,10,0,12,53,21,0,51
7,1,1,10,0,6,118,13,0,28
7,1,1,10,0,14,129,27,0,36
7,1,1,10,0,41,57,12,0,36
7,1,1,10,0,56,OTHERS,21,0,36
7,1,1,10,0,7,OTHERS,19,0,36
7,1,1,10,0,87,OTHERS,80,0,43
7,1,1,10,0,22,79,11,0,45
7,1,1,10,0,24,118,60,0,36
7,1,1,10,0,59,OTHERS,16,0,36
7,1,1,10,0,12,79,20,0,45
7,1,1,10,0,76,56,22,0,36
7,1,1,10,0,12,OTHERS,15,0,36
7,1,1,10,0,45,129,30,0,36
7,1,1,10,0,83,102,23,0,36
7,1,1,10,0,10,56,45,0,36
7,1,1,10,0,28,56,25,0,36
7,1,1,10,0,22,OTHERS,80,0,36
7,1,1,10,0,27,26,46,0,49
7,1,1,10,0,28,56,35,0,36
7,1,1,10,0,19,OTHERS,80,0,36
7,1,1,10,0,22,79,26,0,28
7,1,1,10,0,11,57,32,0,36
7,1,1,10,0,11,129,15,0,36
7,1,1,10,0,12,118,10,0,36
7,1,1,10,0,4,129,10,0,36
7,1,1,10,0,7,129,10,0,24
7,1,1,10,0,12,4,33,0,36
7,1,1,10,0,54,OTHERS,10,0,36
7,1,1,10,0,2,118,14,0,36
7,1,1,10,0,3,OTHERS,49,0,36
7,1,1,10,0,47,26,31,0,36
7,1,1,10,0,9,53,15,0,36
7,1,1,10,0,22,OTHERS,80,0,29
7,1,1,10,0,15,118,80,0,36
7,1,1,10,0,26,102,19,0,29
7,1,1,10,0,39,57,27,0,37
7,1,1,10,0,40,OTHERS,43,0,36
7,1,1,10,0,4,OTHERS,10,0,36
7,1,1,10,0,39,OTHERS,80,0,36
7,1,1,10,0,5,53,10,0,36
7,1,1,10,0,81,OTHERS,36,0,36
7,1,1,10,0,6,118,16,0,45
7,1,1,10,0,8,129,10,0,53
7,1,1,10,0,5,79,19,0,36
7,1,1,10,0,22,102,13,0,36
7,1,1,10,0,31,79,14,0,36
7,1,1,10,0,22,OTHERS,40,0,36
7,1,1,10,0,7,OTHERS,10,0,36
7,1,1,10,0,22,118,49,0,36
7,1,1,10,0,28,OTHERS,72,0,36
7,1,1,10,0,32,OTHERS,55,0,36
7,1,1,10,0,64,OTHERS,38,0,36
7,1,1,10,0,18,OTHERS,0,0,36
7,1,1,10,0,17,79,40,0,35
7,1,1,10,0,33,26,32,0,36
7,1,1,10,0,7,OTHERS,41,0,36
7,1,1,10,0,22,OTHERS,30,0,36
7,1,1,10,0,17,129,27,0,36
7,1,1,10,0,41,OTHERS,40,0,26
7,1,1,10,0,22,OTHERS,62,0,32
7,1,1,10,0,9,53,39,0,36
7,1,1,10,0,25,118,16,0,36
7,1,1,10,0,26,56,30,0,36
7,1,1,10,0,18,OTHERS,17,0,36
7,1,1,0,0,22,118,32,0,36
7,1,1,0,0,112,OTHERS,23,0,36
7,1,1,0,0,3,OTHERS,20,0,36
7,1,1,0,0,2,OTHERS,56,0,36
7,1,1,0,0,10,118,20,0,55
7,1,1,0,0,7,118,20,0,36
7,1,1,0,0,8,53,55,0,49
7,1,1,0,0,27,118,20,0,36
7,1,1,0,0,54,OTHERS,20,0,36
7,1,1,0,0,12,4,47,0,36
7,1,1,0,0,13,OTHERS,20,0,39
7,1,1,0,0,31,140,20,0,45
8,0,1,25,0,10,56,31,12.4,36
8,0,1,25,0,18,56,0,28.8,36
8,0,1,25,0,7,56,62,24.8,36
8,0,1,25,0,12,56,60,24,36
8,0,1,25,0,15,56,50,20,36
10,1,1,25,0,40,57,28,10.64,48
10,1,1,25,0,38,OTHERS,75,28.5,48
10,1,1,25,0,111,OTHERS,95,36.1,48
12,0,1,25,0,4,OTHERS,15,6,52
12,0,1,25,0,5,OTHERS,15,6,38
12,0,1,25,0,3,OTHERS,15,6,39
12,0,1,25,0,15,OTHERS,15,6,45
13,0,1,22,0,78,118,8.49,2.38,48
9,0,1,8,0,7,57,30,10.5,35
9,0,1,8,0,97,OTHERS,44,15.4,36
9,0,1,8,0,13,OTHERS,33,11.55,36
9,0,1,8,0,13,OTHERS,30,10.5,36
9,0,1,8,0,8,OTHERS,26,9.1,36
9,0,1,8,0,8,57,18,6.3,25
9,0,1,8,0,7,129,22,7.7,35
9,0,1,8,0,10,26,26,9.1,42
9,0,1,8,0,118,129,22,7.7,34
9,0,1,8,0,39,53,26,9.1,36
9,0,1,8,0,12,102,18,6.3,34
9,0,1,8,0,12,53,26,9.1,43
9,0,1,8,0,73,26,26,9.1,41
9,0,1,8,0,22,129,30,10.5,36
9,0,1,25,0,22,4,58,20.3,24
9,0,1,25,0,4,26,36,12.6,47
9,0,1,25,0,18,140,27,42.35,35
9,0,1,25,0,15,53,69,24.15,44
9,0,1,25,0,15,53,69,24.15,41
1,0,1,2,0,22,102,29.19,10.22,48
2,0,1,9,0,26,118,23.8,5.95,34
2,0,1,9,0,30,118,35.25,8.81,27
2,0,1,9,0,100,118,27,50.5,34
2,0,1,9,0,7,118,23.4,5.85,30
2,0,1,9,0,26,118,71,17.75,26
2,0,1,9,0,8,118,17.55,4.39,29
2,0,1,17,0,16,118,74.25,18.56,27
2,0,1,17,0,12,118,24.05,6.01,38
2,0,1,17,0,68,118,24.05,6.01,47
2,0,1,17,0,9,118,62.25,15.56,27
2,0,1,17,0,23,118,27,27,29
2,0,1,17,0,26,118,27,31.75,30
2,0,1,3,0,22,118,27,97.34,50
6,1,1,16,0,22,OTHERS,19.8,11.88,29
6,1,1,16,0,5,79,29.7,17.82,54
6,1,1,16,0,7,140,9.9,5.94,43
6,1,1,16,0,12,129,39.6,23.76,38
6,1,1,16,0,8,140,19.8,11.88,52
6,1,1,16,0,22,OTHERS,27,130.68,45
6,1,1,16,0,53,140,27,77.22,43
6,1,1,16,0,31,OTHERS,27,59.4,46
6,1,1,16,0,13,140,49.5,29.7,53
6,1,1,16,0,95,129,29.7,17.82,36
6,1,1,16,0,8,79,29.7,17.82,35
6,1,1,16,0,22,OTHERS,49.5,29.7,31
6,1,1,16,0,8,4,29.7,17.82,36
6,1,1,16,0,5,140,19.8,11.88,55
6,1,1,16,0,9,140,89.1,53.46,45
6,1,1,16,0,26,129,19.8,11.88,36
7,1,1,1,0,51,57,20,0,54
